,artist,title,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
17602,M83,Lover of Mine,0.437,0.98,7.0,-4.603,1.0,0.422,0.000297,0.000411,0.185,0.111,147.12,271969.0,4.0
17603,Dio,Better Times,0.397,0.727,2.0,-7.358,1.0,0.0709,0.33,0.0,0.0812,0.42,108.005,314047.0,3.0
17604,Pink Floyd,10 Mile Stereo,0.645,0.345,10.0,-10.861,1.0,0.0276,0.769,0.0047,0.101,0.296,89.438,247420.0,4.0
17605,Goldfinger,Real Love,0.326,0.278,9.0,-12.489,1.0,0.0305,0.535,0.328,0.168,0.266,148.896,265749.0,3.0
17606,Metric,Take Care,0.141,0.316,0.0,-12.307,1.0,0.0355,0.928,0.904,0.468,0.0304,75.301,158001.0,4.0
17607,Beach House,Majorette,0.412,0.477,9.0,-9.381,0.0,0.029,0.0542,0.798,0.0975,0.141,75.302,214680.0,4.0
17608,Beach House,She's So Lovely,0.665,0.351,2.0,-9.424,1.0,0.0276,0.516,0.819,0.109,0.451,87.057,126120.0,4.0
17609,Beach House,All Your Yeahs,0.475,0.336,9.0,-10.475,0.0,0.0272,0.926,0.927,0.0732,0.0988,80.076,215333.0,4.0
17610,Beach House,One Thing,0.59,0.384,3.0,-12.195,1.0,0.0316,0.576,0.00291,0.105,0.56,72.539,187588.0,4.0
17611,Beach House,Common Girl,0.504,0.58,1.0,-5.917,1.0,0.0279,0.0101,0.491,0.071,0.585,157.026,314391.0,4.0
17612,Beach House,The Traveller,0.557,0.457,3.0,-9.349,1.0,0.0343,0.0469,0.015,0.179,0.343,67.015,180848.0,4.0
17613,Beach House,Elegy to the Void,0.507,0.666,10.0,-8.362,1.0,0.029,0.0116,0.343,0.129,0.185,77.979,291786.0,4.0
17614,Beach House,Rough Song,0.512,0.543,7.0,-6.857,1.0,0.0343,0.189,0.000649,0.323,0.236,114.963,304427.0,4.0
17615,Beach House,Somewhere Tonight,0.697,0.813,11.0,-8.89,0.0,0.0315,0.0989,0.0232,0.583,0.85,95.301,180027.0,4.0
17616,Beach House,Newlove,0.592,0.355,9.0,-14.051,1.0,0.0352,0.478,0.0,0.0585,0.499,133.032,216773.0,4.0
17617,Beach House,Midnight Visitors,0.351,0.153,11.0,-11.954,0.0,0.0322,0.903,0.0,0.405,0.212,91.749,183893.0,4.0
17618,Beach House,Yam Yam,0.536,0.0231,10.0,-26.227,0.0,0.0486,0.984,0.842,0.544,0.126,69.339,241202.0,5.0
17619,Beach House,Every Single Thing,0.689,0.463,2.0,-8.121,0.0,0.0365,0.066,0.000152,0.145,0.864,86.998,226006.0,4.0
17620,Beach House,"Yoshimi Battles the Pink Robots, Pt. 1",0.378,0.736,4.0,-9.438,0.0,0.0407,0.326,0.105,0.107,0.796,182.672,342000.0,3.0
17621,Beach House,Dræm Girl,0.431,0.233,9.0,-15.242,1.0,0.0288,0.832,0.848,0.099,0.085,81.183,363973.0,4.0
17622,Beach House,Panic! at the Costco,0.692,0.592,1.0,-12.803,0.0,0.059,0.0834,0.00505,0.108,0.918,151.851,162692.0,4.0
17623,Beach House,Planet,0.752,0.602,0.0,-8.268,1.0,0.0315,0.298,0.000581,0.0851,0.399,144.967,177517.0,4.0
17624,Beach House,Sports,0.0677,0.88,5.0,-3.784,0.0,0.096,0.00117,0.801,0.913,0.244,73.311,342545.0,4.0
17625,Beach House,The Apocalypse Made Me Brave,0.343,0.97,10.0,-3.638,0.0,0.202,0.000622,0.931,0.209,0.0674,87.062,286897.0,4.0
17626,Sewerslvt,Help Me!,0.358,0.967,11.0,-4.472,1.0,0.109,0.000133,0.711,0.394,0.0928,159.967,396000.0,4.0
17627,Dated,The Whore of Sausalito,0.463,0.909,11.0,-6.188,1.0,0.0613,0.00213,0.93,0.348,0.201,103.983,226154.0,4.0
17628,No Vacation,The Disaster of Passion,0.391,0.989,8.0,-3.497,1.0,0.189,0.000499,0.941,0.775,0.259,139.952,356571.0,4.0
